,blue,green,red,label
0,68,84,148,red
1,68,84,148,red
2,68,84,148,red
3,68,84,148,red
4,68,84,148,red
5,68,84,148,red
6,68,84,148,red
7,68,84,148,red
8,68,84,148,red
9,68,84,148,red
10,68,84,148,red
11,68,84,148,red
12,68,84,148,red
13,68,84,148,red
14,68,84,148,red
15,68,84,148,red
16,68,84,148,red
17,68,84,148,red
18,68,84,148,red
19,68,84,148,red
20,68,84,148,red
21,68,84,148,red
22,68,84,148,red
23,68,84,148,red
24,68,84,148,red
25,68,84,148,red
26,68,84,148,red
27,68,84,148,red
28,68,84,148,red
29,68,84,148,red
30,68,84,148,red
31,68,84,148,red
32,68,84,148,red
33,68,84,148,red
34,68,84,148,red
35,68,84,148,red
36,68,84,148,red
37,68,84,148,red
38,68,84,148,red
39,68,84,148,red
40,68,84,148,red
41,68,84,148,red
42,68,84,148,red
43,68,84,148,red
44,68,84,148,red
45,68,84,148,red
46,68,84,148,red
47,68,84,148,red
48,68,84,148,red
49,68,84,148,red
50,68,84,148,red
51,68,84,148,red
52,68,84,148,red
53,68,84,148,red
54,68,84,148,red
55,68,84,148,red
56,68,84,148,red
57,68,84,148,red
58,68,84,148,red
59,68,84,148,red
60,68,84,148,red
61,68,84,148,red
62,68,84,148,red
63,68,84,148,red
64,68,84,148,red
65,68,84,148,red
66,68,84,148,red
67,68,84,148,red
68,68,84,148,red
69,68,84,148,red
70,68,84,148,red
71,68,84,148,red
72,68,84,148,red
73,68,84,148,red
74,68,84,148,red
75,68,84,148,red
76,68,84,148,red
77,68,84,148,red
78,68,84,148,red
79,68,84,148,red
80,68,84,148,red
81,68,84,148,red
82,68,84,148,red
83,68,84,148,red
84,68,84,148,red
85,68,84,148,red
86,68,84,148,red
87,68,84,148,red
88,68,84,148,red
89,68,84,148,red
90,68,84,148,red
91,68,84,148,red
92,68,84,148,red
93,68,84,148,red
94,68,84,148,red
95,68,84,148,red
96,68,84,148,red
97,68,84,148,red
98,68,84,148,red
99,68,84,148,red
100,68,84,148,red
101,68,84,148,red
102,68,84,148,red
103,68,84,148,red
104,68,84,148,red
105,68,84,148,red
106,68,84,148,red
107,68,84,148,red
108,68,84,148,red
109,68,84,148,red
110,68,84,148,red
111,68,84,148,red
112,68,84,148,red
113,68,84,148,red
114,68,84,148,red
115,68,84,148,red
116,68,84,148,red
117,68,84,148,red
118,68,84,148,red
119,68,84,148,red
120,68,84,148,red
121,68,84,148,red
122,68,84,148,red
123,68,84,148,red
124,68,84,148,red
125,68,84,148,red
126,68,84,148,red
127,68,84,148,red
128,68,84,148,red
129,68,84,148,red
130,68,84,148,red
131,68,84,148,red
132,68,84,148,red
133,68,84,148,red
134,68,84,148,red
135,68,84,148,red
136,68,84,148,red
137,68,84,148,red
138,68,84,148,red
139,68,84,148,red
140,68,84,148,red
141,68,84,148,red
142,68,84,148,red
143,68,84,148,red
144,68,84,148,red
145,68,84,148,red
146,68,84,148,red
147,68,84,148,red
148,68,84,148,red
149,68,84,148,red
150,68,84,148,red
151,68,84,148,red
152,68,84,148,red
153,68,84,148,red
154,68,84,148,red
155,68,84,148,red
156,68,84,148,red
157,68,84,148,red
158,68,84,148,red
159,68,84,148,red
160,68,84,148,red
161,68,84,148,red
162,68,84,148,red
163,68,84,148,red
164,68,84,148,red
165,68,84,148,red
166,68,84,148,red
167,68,84,148,red
168,68,84,148,red
169,68,84,148,red
170,68,84,148,red
171,68,84,148,red
172,68,84,148,red
173,68,84,148,red
174,68,84,148,red
175,68,84,148,red
176,68,84,148,red
177,68,84,148,red
178,68,84,148,red
179,68,84,148,red
180,68,84,148,red
181,68,84,148,red
182,68,84,148,red
183,68,84,148,red
184,68,84,148,red
185,68,84,148,red
186,68,84,148,red
187,68,84,148,red
188,68,84,148,red
189,68,84,148,red
190,68,84,148,red
191,68,84,148,red
192,68,84,148,red
193,68,84,148,red
194,68,84,148,red
195,68,84,148,red
196,68,84,148,red
197,68,84,148,red
198,68,84,148,red
199,68,84,148,red
200,68,84,148,red
201,68,84,148,red
202,68,84,148,red
203,68,84,148,red
204,68,84,148,red
205,68,84,148,red
206,68,84,148,red
207,68,84,148,red
208,68,84,148,red
209,68,84,148,red
210,68,84,148,red
211,68,84,148,red
212,68,84,148,red
213,68,84,148,red
214,68,84,148,red
215,68,84,148,red
216,68,84,148,red
217,68,84,148,red
218,68,84,148,red
219,68,84,148,red
220,68,84,148,red
221,68,84,148,red
222,68,84,148,red
223,68,84,148,red
224,68,84,148,red
225,68,84,148,red
226,68,84,148,red
227,68,84,148,red
228,68,84,148,red
229,68,84,148,red
230,68,84,148,red
231,68,84,148,red
232,68,84,148,red
233,68,84,148,red
234,68,84,148,red
235,68,84,148,red
236,68,84,148,red
237,68,84,148,red
238,68,84,148,red
239,68,84,148,red
240,68,84,148,red
241,68,84,148,red
242,68,84,148,red
243,68,84,148,red
244,68,84,148,red
245,68,84,148,red
246,68,84,148,red
247,68,84,148,red
248,68,84,148,red
249,68,84,148,red
250,68,84,148,red
251,68,84,148,red
252,68,84,148,red
253,68,84,148,red
254,68,84,148,red
255,68,84,148,red
256,68,84,148,red
257,68,84,148,red
258,68,84,148,red
259,68,84,148,red
260,68,84,148,red
261,68,84,148,red
262,68,84,148,red
263,68,84,148,red
264,68,84,148,red
265,68,84,148,red
266,68,84,148,red
267,68,84,148,red
268,68,84,148,red
269,68,84,148,red
270,68,84,148,red
271,68,84,148,red
272,68,84,148,red
273,68,84,148,red
274,68,84,148,red
275,68,84,148,red
276,68,84,148,red
277,68,84,148,red
278,68,84,148,red
279,68,84,148,red
280,68,84,148,red
281,68,84,148,red
282,68,84,148,red
283,68,84,148,red
284,68,84,148,red
285,68,84,148,red
286,68,84,148,red
287,68,84,148,red
288,68,84,148,red
289,68,84,148,red
290,68,84,148,red
291,68,84,148,red
292,68,84,148,red
293,68,84,148,red
294,68,84,148,red
295,68,84,148,red
296,68,84,148,red
297,68,84,148,red
298,68,84,148,red
299,68,84,148,red
300,68,84,148,red
301,68,84,148,red
302,68,84,148,red
303,68,84,148,red
304,68,84,148,red
305,68,84,148,red
306,68,84,148,red
307,68,84,148,red
308,68,84,148,red
309,68,84,148,red
310,68,84,148,red
311,68,84,148,red
312,68,84,148,red
313,68,84,148,red
314,68,84,148,red
315,68,84,148,red
316,68,84,148,red
317,68,84,148,red
318,68,84,148,red
319,68,84,148,red
320,68,84,148,red
321,68,84,148,red
322,68,84,148,red
323,68,84,148,red
324,68,84,148,red
325,68,84,148,red
326,68,84,148,red
327,68,84,148,red
328,68,84,148,red
329,68,84,148,red
330,68,84,148,red
331,68,84,148,red
332,68,84,148,red
333,68,84,148,red
334,68,84,148,red
335,68,84,148,red
336,68,84,148,red
337,68,84,148,red
338,68,84,148,red
339,68,84,148,red
340,68,84,148,red
341,68,84,148,red
342,68,84,148,red
343,68,84,148,red
344,68,84,148,red
345,68,84,148,red
346,68,84,148,red
347,68,84,148,red
348,68,84,148,red
349,68,84,148,red
350,68,84,148,red
351,68,84,148,red
352,68,84,148,red
353,68,84,148,red
354,68,84,148,red
355,68,84,148,red
356,68,84,148,red
357,68,84,148,red
358,68,84,148,red
359,68,84,148,red
360,68,84,148,red
361,68,84,148,red
362,68,84,148,red
363,68,84,148,red
364,68,84,148,red
365,68,84,148,red
366,68,84,148,red
367,68,84,148,red
368,68,84,148,red
369,68,84,148,red
370,68,84,148,red
371,68,84,148,red
372,68,84,148,red
373,68,84,148,red
374,68,84,148,red
375,68,84,148,red
376,68,84,148,red
377,68,84,148,red
378,68,84,148,red
379,68,84,148,red
380,68,84,148,red
381,68,84,148,red
382,68,84,148,red
383,68,84,148,red
384,68,84,148,red
385,68,84,148,red
386,68,84,148,red
387,68,84,148,red
388,68,84,148,red
389,68,84,148,red
390,68,84,148,red
391,68,84,148,red
392,68,84,148,red
393,68,84,148,red
394,68,84,148,red
395,68,84,148,red
396,68,84,148,red
397,68,84,148,red
398,68,84,148,red
399,68,84,148,red
400,68,84,148,red
401,68,84,148,red
402,68,84,148,red
403,68,84,148,red
404,68,84,148,red
405,68,84,148,red
406,68,84,148,red
407,68,84,148,red
408,68,84,148,red
409,68,84,148,red
410,68,84,148,red
411,68,84,148,red
412,68,84,148,red
413,68,84,148,red
414,68,84,148,red
415,68,84,148,red
416,68,84,148,red
417,68,84,148,red
418,68,84,148,red
419,68,84,148,red
420,68,84,148,red
421,68,84,148,red
422,68,84,148,red
423,68,84,148,red
424,68,84,148,red
425,68,84,148,red
426,68,84,148,red
427,68,84,148,red
428,68,84,148,red
429,68,84,148,red
430,68,84,148,red
431,68,84,148,red
432,68,84,148,red
433,68,84,148,red
434,68,84,148,red
435,68,84,148,red
436,68,84,148,red
437,68,84,148,red
438,68,84,148,red
439,68,84,148,red
440,68,84,148,red
441,68,84,148,red
442,68,84,148,red
443,68,84,148,red
444,68,84,148,red
445,68,84,148,red
446,68,84,148,red
447,68,84,148,red
448,68,84,148,red
449,68,84,148,red
450,68,84,148,red
451,68,84,148,red
452,68,84,148,red
453,68,84,148,red
454,68,84,148,red
455,68,84,148,red
456,68,84,148,red
457,68,84,148,red
458,68,84,148,red
459,68,84,148,red
460,68,84,148,red
461,68,84,148,red
462,68,84,148,red
463,68,84,148,red
464,68,84,148,red
465,68,84,148,red
466,68,84,148,red
467,68,84,148,red
468,68,84,148,red
469,68,84,148,red
470,68,84,148,red
471,68,84,148,red
472,68,84,148,red
473,68,84,148,red
474,68,84,148,red
475,68,84,148,red
476,68,84,148,red
477,68,84,148,red
478,68,84,148,red
479,68,84,148,red
480,68,84,148,red
481,68,84,148,red
482,68,84,148,red
483,68,84,148,red
484,68,84,148,red
485,68,84,148,red
486,68,84,148,red
487,68,84,148,red
488,68,84,148,red
489,68,84,148,red
490,68,84,148,red
491,68,84,148,red
492,68,84,148,red
493,68,84,148,red
494,68,84,148,red
495,68,84,148,red
496,68,84,148,red
497,68,84,148,red
498,68,84,148,red
499,68,84,148,red
500,68,84,148,red
501,68,84,148,red
502,68,84,148,red
503,68,84,148,red
504,68,84,148,red
505,68,84,148,red
506,68,84,148,red
507,68,84,148,red
508,68,84,148,red
509,68,84,148,red
510,68,84,148,red
511,68,84,148,red
512,68,84,148,red
513,68,84,148,red
514,68,84,148,red
515,68,84,148,red
516,68,84,148,red
517,68,84,148,red
518,68,84,148,red
519,68,84,148,red
520,68,84,148,red
521,68,84,148,red
522,68,84,148,red
523,68,84,148,red
524,68,84,148,red
525,68,84,148,red
526,68,84,148,red
527,68,84,148,red
528,68,84,148,red
529,68,84,148,red
530,68,84,148,red
531,68,84,148,red
532,68,84,148,red
533,68,84,148,red
534,68,84,148,red
535,68,84,148,red
536,68,84,148,red
537,68,84,148,red
538,68,84,148,red
539,68,84,148,red
540,68,84,148,red
541,68,84,148,red
542,68,84,148,red
543,68,84,148,red
544,68,84,148,red
545,68,84,148,red
546,68,84,148,red
547,68,84,148,red
548,68,84,148,red
549,68,84,148,red
550,68,84,148,red
551,68,84,148,red
552,68,84,148,red
553,68,84,148,red
554,68,84,148,red
555,68,84,148,red
556,68,84,148,red
557,68,84,148,red
558,68,84,148,red
559,68,84,148,red
560,68,84,148,red
561,68,84,148,red
562,68,84,148,red
563,68,84,148,red
564,68,84,148,red
565,68,84,148,red
566,68,84,148,red
567,68,84,148,red
568,68,84,148,red
569,68,84,148,red
570,68,84,148,red
571,68,84,148,red
572,68,84,148,red
573,68,84,148,red
574,68,84,148,red
575,68,84,148,red
576,68,84,148,red
577,68,84,148,red
578,68,84,148,red
579,68,84,148,red
580,68,84,148,red
581,68,84,148,red
582,68,84,148,red
583,68,84,148,red
584,68,84,148,red
585,68,84,148,red
586,68,84,148,red
587,68,84,148,red
588,68,84,148,red
